หมายเลขสำนักทางหลวง (Buraeu No.),สำนักทางหลวง,Buraeu of Highways,"จำนวนของช่องจราจร
Number of lane","ระยะทาง (กม.)
Length (K.M.)","รถยนต์นั่งไม่เกิน 7 คน
Passenger Car. less  than 7 persons","รถยนต์นั่งเกิน 7 คน
Passenger Car. more  than 7 persons","รถโดยสารขนาดเล็ก
Ligth Bus","รถโดยสารขนาดกลาง
Medium Bus","รถโดยสารขนาดใหญ่
Heavy Bus","รถบรรทุกเล็ก 4 ล้อ
Ligth Truck","รถบรรทุกกลาง 6 ล้อ
Medium Truck","รถบรรทุก 10 ล้อ
Heavy Truck","รถบรรทุกพ่วง
Full Trailor","รถบรรทุกกึ่งพ่วง
Semi Trailor","รวม
Total","รถจักรยานยนต์
Motorcycle","ปริมาณการเดินทางรวม
Total (PCU-กิโลเมตร)
(PCU-kilometer)"
10,นครราชสีมา,NAKHON RATCHASIMA,> 4,325.94,1941044134,936687682,119620317,30235323,107689140,1549955485,191225923,167743360,159311195,204223078,5407735637,646227320,6823735952
11,ลพบุรี,LOP BURI,2,1946.78,1417147359,1001147759,115628416,89780861,107544253,976248358,300238600,266148421,237732560,168455938,4680072525,991346788,6570559834
11,ลพบุรี,LOP BURI,4,720.45,1271634576,738660992,65602910,53685288,75279691,696594001,211757312,190254734,196726412,171891087,3672087003,644509373,5100614612
11,ลพบุรี,LOP BURI,> 4,293.61,1060865184,938852204,44315538,35027510,139635317,663920625,310895239,310988966,363140671,372704773,4240346027,277527828,6438387010
12,สุพรรณบุรี,SUPHAN BURI,2,2122.59,1172940378,590955672,62809306,50090680,45667915,1294946051,154937161,125001674,90384408,57064365,3644797610,1058019957,4683508416
12,สุพรรณบุรี,SUPHAN BURI,4,865.96,1948990740,1163191164,132000681,92166699,124298068,1633817049,220663556,212397547,241516013,172450132,5941491649,889835701,7669213534
12,สุพรรณบุรี,SUPHAN BURI,> 4,328.92,711374361,478935712,99387979,61825584,75781686,636467357,115269645,115964341,122122289,101746957,2518875911,416574826,3458226334
13,กรุงเทพฯ,BANGKOK,2,755.55,1948300335,1111983321,174611265,127541755,143021871,899216573,302554731,228440714,195394721,141244819,5272310105,762815828,7015364064
13,กรุงเทพฯ,BANGKOK,4,363.95,2028034239,1050836841,152771448,85568399,97635679,1112772193,287549886,231526448,190900388,149745668,5387341189,464435784,6943294262
13,กรุงเทพฯ,BANGKOK,> 4,783.01,11203353901,4671660952,558999145,346194699,709578942,4762902223,1162499509,889630413,616063060,475923939,25396806783,2188199492,31610111990
14,ชลบุรี,CHON BURI,2,1489.25,1273508058,784992581,81160626,44452292,65892966,2008293451,302713244,264176646,199498488,164003216,5188691568,964711956,6920208366
14,ชลบุรี,CHON BURI,4,760.45,2863124278,1233292584,193393499,127142078,178417599,2228551763,544957403,403655644,330902105,310555543,8413992496,847225737,11220118023
14,ชลบุรี,CHON BURI,> 4,315.01,1090054549,705564038,116682008,56110487,97564167,1050703746,252242807,210644699,180359642,189795389,3949721532,456194632,5444202150
15,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,2,1245.47,1069435611,611165357,55443549,35867898,31358952,1471014964,252740801,210043254,115587527,65520305,3918178218,1093678701,5227626481
15,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,4,740.39,1953394404,1277714763,230677980,186061556,221335265,2039700395,599729459,645865148,465388165,356772113,7976639248,842923074,11571166747
15,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,> 4,245.38,924402736,774391227,105489209,67301941,102458595,777189857,256792503,309108156,178482857,124554694,3620171775,472334053,5177320991
สำนักงานทางหลวง,ที่ 16 (นครศรีธรรมราช),,2,2177.9,1263816078,815623690,62996707,29259261,15791998,1045523790,177059783,134624662,84862432,37939158,3667497559,1156900456,4697725358
สำนักงานทางหลวง,ที่ 16 (นครศรีธรรมราช),,4,789.19,1366332145,727002056,72247457,39620416,33520100,1176173110,189298306,213832878,169256318,143817658,4131100444,694751791,5454192853
สำนักงานทางหลวง,ที่ 16 (นครศรีธรรมราช),,> 4,177.59,521336786,380754966,10487500,16502591,8863889,484456063,79509188,90428614,67356713,72802290,1732498600,214106331,2260478119
สำนักงานทางหลวง,ที่ 17 (กระบี่),,2,1258.59,910365416,426302245,73972308,50168473,27636380,736360631,91600980,73733508,46703758,22727790,2459571489,792759727,3131932061
